田,690,57,4386,0,2,0,2,4911,220,0,0,0,1,1
一,37,0,3,538,542,1731,0,30,10,0,31,2233,547,0
山,1240,12,1132,0,0,1,1,2347,36,0,0,1,0,0
藤,557,2,1699,4,0,0,2,2252,4,0,0,3,1,0
野,321,74,1537,3,0,5,0,1796,135,1,0,8,0,0
子,5,10,126,1,1,1676,0,125,16,0,0,1066,612,0
川,400,2,1380,0,0,2,0,1620,161,1,0,2,0,0
村,286,2,1450,1,0,2,0,1719,18,1,0,3,0,0
井,319,17,1396,1,0,0,0,1671,60,1,0,0,1,0
本,141,0,1510,0,0,0,2,1640,9,0,0,0,0,0
大,1020,3,1,401,1,146,0,939,85,0,44,488,16,0
中,1086,7,475,0,1,3,6,1535,26,1,3,0,1,0
木,360,17,1164,0,2,3,0,1348,193,0,0,3,2,0
郎,0,0,0,0,1,1509,0,0,0,0,0,429,1079,2
小,1332,2,0,12,0,0,0,1174,159,1,0,3,9,0
原,194,6,924,2,0,0,73,984,64,3,0,2,0,0
和,105,19,22,699,11,261,0,111,35,0,7,942,22,0
之,0,21,0,3,44,1017,0,0,20,1,0,1020,43,1
高,857,0,47,106,0,32,4,893,7,0,6,132,0,0
松,739,9,196,9,0,3,0,933,11,0,0,7,5,0
太,106,0,3,121,387,327,0,105,4,0,7,436,391,1
彦,2,0,2,3,0,931,0,4,0,0,1,925,8,0
正,19,0,6,766,0,132,0,25,0,0,33,856,9,0
谷,171,125,598,0,0,0,24,704,165,1,0,0,0,0
雄,1,0,0,294,0,577,0,1,0,0,7,781,83,0
美,12,0,23,294,89,435,0,20,15,0,0,561,257,0
浩,0,0,0,556,0,289,0,0,0,0,89,721,35,0
明,17,1,6,178,0,629,0,22,2,0,64,731,12,0
樹,1,0,4,13,12,794,0,5,0,0,3,802,14,0
岡,371,1,450,0,0,0,26,792,4,0,0,0,0,0
也,0,0,0,0,5,814,0,0,0,0,0,813,6,0
平,348,1,75,7,2,384,5,416,3,0,2,388,3,0
佐,714,18,19,32,20,9,0,561,190,0,0,15,46,0
裕,0,0,0,537,3,253,0,0,0,0,77,683,33,0
司,2,0,33,5,0,752,1,34,0,0,28,727,2,0
弘,8,0,2,281,0,488,0,10,0,0,26,737,6,0
吉,532,1,56,87,1,83,0,588,1,0,0,168,3,0
島,123,1,634,0,0,0,14,730,14,0,0,0,0,0
上,268,0,483,1,0,1,3,730,18,0,1,1,0,0
健,0,0,0,597,0,155,0,0,0,0,149,440,163,0
史,0,0,0,85,6,650,0,0,0,0,1,731,9,0
久,189,113,20,115,13,288,1,145,176,0,12,360,44,0
橋,159,0,572,0,0,0,0,727,4,0,0,0,0,0
西,500,2,193,0,0,0,25,665,4,1,0,0,0,0
治,0,9,18,55,12,597,0,15,12,0,27,621,16,0
崎,8,0,680,0,0,0,0,670,18,0,0,0,0,0
三,385,0,0,61,40,198,0,353,32,0,0,228,71,0
口,0,0,681,0,0,0,0,667,14,0,0,0,0,0
石,546,2,127,0,0,1,1,665,9,0,0,1,0,0
宏,0,0,0,242,0,426,0,0,0,0,71,590,7,0
英,0,0,0,577,1,88,0,0,0,0,3,640,23,0
隆,3,0,0,415,1,247,3,0,0,0,118,531,14,0
二,36,0,2,25,72,529,0,28,10,0,0,551,75,0
幸,11,0,2,293,0,357,0,12,1,0,5,625,20,0
真,53,1,0,505,0,91,0,50,4,0,74,404,118,0
俊,1,0,0,499,0,142,0,1,0,0,19,611,11,0
夫,0,0,0,0,0,627,0,0,0,0,0,596,31,0
林,197,0,415,4,0,1,182,424,6,0,0,2,3,0
介,0,0,0,1,0,606,0,0,0,0,0,588,19,0
志,36,5,8,47,25,480,0,40,9,0,0,511,41,0
博,0,0,0,301,0,281,0,0,0,0,57,523,2,0
森,432,2,142,1,0,3,134,436,6,0,2,2,0,0
秀,3,0,1,495,0,81,0,4,0,0,7,561,8,0
澤,64,0,514,0,0,0,5,555,18,0,0,0,0,0
直,8,0,0,503,0,56,0,8,0,0,26,530,3,0
内,183,4,375,0,0,0,0,528,34,0,0,0,0,0
人,6,0,3,1,0,549,0,9,0,0,0,545,5,0
康,2,0,0,442,0,93,1,1,0,0,24,498,13,0
雅,0,0,0,496,1,28,0,0,0,0,10,513,1,1
孝,0,0,0,313,0,208,0,0,0,0,47,465,9,0
智,1,1,19,396,25,69,0,20,1,0,51,398,41,0
洋,0,0,0,323,0,182,0,0,0,0,69,411,25,0
貴,8,0,0,333,6,148,0,8,0,0,13,456,18,0
宮,387,8,91,1,0,0,1,468,17,0,0,1,0,0
下,117,10,348,0,0,0,0,441,33,1,0,0,0,0
信,11,0,3,316,0,139,0,14,0,0,19,412,24,0
鈴,412,0,1,6,0,2,0,413,0,0,0,6,2,0
部,1,3,413,0,0,0,0,377,39,1,0,0,0,0
尾,110,1,298,0,0,0,0,403,6,0,0,0,0,0
光,21,1,24,242,0,117,0,45,1,0,25,318,16,0
義,1,0,0,296,0,105,0,1,0,0,0,398,3,0
伊,374,0,0,20,2,2,0,357,17,0,0,10,13,1
長,361,3,13,12,0,8,5,245,127,0,1,18,1,0
永,192,1,186,5,0,8,0,378,1,0,0,12,1,0
武,140,1,34,141,1,68,2,170,2,1,45,162,3,0
哲,0,0,0,320,0,62,0,0,0,0,54,324,4,0
渡,353,1,25,0,0,1,0,374,5,0,1,0,0,0
坂,231,1,146,0,0,0,5,368,5,0,0,0,0,0
行,8,0,5,31,0,333,0,13,0,0,1,362,1,0
水,178,6,169,2,0,9,0,341,12,0,0,10,1,0
文,6,1,1,158,0,196,0,7,1,0,1,350,3,0
泰,0,0,0,304,0,56,0,0,0,0,20,334,6,0
岩,324,2,25,8,0,0,0,348,3,0,0,7,1,0
安,281,1,34,39,0,3,1,304,11,0,1,39,2,0
男,1,0,2,0,1,350,0,3,0,0,0,323,28,0
清,177,1,3,134,0,38,2,176,3,0,31,133,7,1
良,3,3,45,251,0,50,0,39,12,0,11,282,8,0
保,34,57,154,52,16,37,1,124,120,0,11,77,17,0
勝,50,0,9,215,0,75,1,57,1,0,48,241,1,0
祐,2,0,0,241,3,96,0,2,0,0,3,320,17,0
紀,5,0,0,69,58,204,2,3,0,0,2,259,70,0
江,130,2,133,11,6,52,0,250,15,0,0,44,25,0
誠,0,0,0,154,0,179,0,0,0,0,169,143,21,0
池,207,0,125,0,0,0,1,328,3,0,0,0,0,0
昭,0,0,0,134,0,196,0,0,0,0,13,315,2,0
竹,270,0,47,10,0,1,0,314,3,0,0,10,1,0
加,275,2,2,21,12,16,0,261,17,1,0,20,29,0
昌,1,0,0,290,0,30,0,1,0,0,5,313,2,0
淳,0,0,0,170,0,151,0,0,0,0,146,159,16,0
伸,0,0,0,226,0,90,0,0,0,0,15,288,13,0
